model,n,rmse,rmse_ci_low,rmse_ci_high,r_ci_low,r_ci_high
mlp_chemberta_5M_esm2_8M_320,4715,1.0743682,1.0458494156599045,1.1048078417778016,0.6973499399256794,0.7329232011001
xgb_chemberta_100M_esm2_150M,4715,1.0770046,1.0540225118398667,1.1022713392972947,0.6858876152449029,0.7193420724475663
xgb_chemberta_77M_esm2_35M_480,4715,1.0770867,1.0512456268072128,1.1027210503816605,0.6844128542772093,0.7198727907443233
xgb_chemberta_100M_prot_electra_256,4715,1.077522,1.052195093035698,1.1034378409385681,0.683771258891557,0.7188987010809509
xgb_chemberta_prot_electra__seed123,4925,1.0778373,1.0542607933282853,1.1035992801189423,0.6536359075619248,0.6897023898607584
xgb_chemberta_77M_esmc_300M,4715,1.0780404,1.0496415823698044,1.1056206434965135,0.6836691072278454,0.7203707492441259
xgb_chemberta_prot_electra__seed456,4837,1.0795066,1.0560998678207398,1.1021363198757173,0.6533012107417063,0.688479302409501
mlp_chemberta_77M_esm2_8M_320,4715,1.0795789,1.0511561900377273,1.10987848341465,0.691830134287344,0.7273904428308307
mlp_chemberta_77M_esm2_35M_480,4715,1.0800551,1.0502112925052642,1.1106678307056428,0.6973901382627586,0.732861289280017
xgb_chemberta_77M_prot_electra_256,4715,1.08164,1.0536311894655228,1.109630036354065,0.6800940451369558,0.7175341963257102
xgb_ecfp4_esm2_8M__seed123,4925,1.0818477,1.0570353746414185,1.1066171735525132,0.6551654394266178,0.6907015405402979
xgb_chemberta_77M_esm2_150M,4715,1.0821882,1.0575824052095413,1.1089308232069015,0.6818268097001869,0.7162421862151275
xgb_ecfp4_aac__seed456,4837,1.0838157,1.061096340417862,1.106426876783371,0.6494848874329768,0.6842160521597739
xgb_chemberta_esm2_8M__seed123,4925,1.0882258,1.064904311299324,1.1126371502876282,0.6444049369315477,0.6805285650232072
xgb_chemberta_600_protein_char,4715,1.0893292,1.0649992287158967,1.1146752953529357,0.6775001139242374,0.7123843912910693
xgb_chemberta_aac,4715,1.0893292,1.0634299367666245,1.1130563139915466,0.6785070282156768,0.7101211930063246
mlp_chemberta_600_esm2_650M,4715,1.0901177,1.058933711051941,1.1213175117969514,0.6856915260799417,0.7225407311863035
bica_v2_xgb_hybrid,4715,1.0906146,1.059505158662796,1.121192854642868,0.6861782298001248,0.7223396987202463
lgbm_ecfp4_aac__seed456,4837,1.0906409,1.068340826034546,1.1128901958465576,0.6441266312500019,0.6793117734799504
xgb_chemberta_aac__seed456,4837,1.0917904,1.0698224782943726,1.112824159860611,0.6368953727677383,0.6728235729243134
xgb_ecfp6_1024_protein_char,4715,1.0919958,1.0679346054792405,1.1159993767738343,0.6756114835760619,0.710058445655686
mlp_chemberta_600_prot_electra_256,4715,1.0941596,1.0620490252971648,1.1248382091522218,0.6876539673135021,0.7278126789148939
mlp_chemberta_600_esmc_300M,4715,1.0977924,1.0703197032213212,1.1269165396690368,0.6782687429464461,0.7168464030191365
mlp_chemberta_100M_esm2_650M,4715,1.100656,1.073645356297493,1.126965919137001,0.6837812504823615,0.7210130458674039
bica_v2_hybrid_rf_test,4715,1.1025332,1.0708356142044066,1.1354680418968202,0.6830295229105621,0.722322739845347
mlp_chemberta_5M_esm2_35M_480,4715,1.1035831,1.0734753340482712,1.1332056403160096,0.6869189498062644,0.7238895873161556
mlp_chemberta_100M_esmc_300M,4715,1.1061879,1.0798282355070115,1.1319447070360185,0.6757022068565114,0.7105612552113821
mlp_medium_ecfp4_dipeptide,4715,1.1081687,1.0829641938209533,1.134263589978218,0.6835822720207929,0.719045123341968
mlp_chemberta_600_esm2_8M_320,4715,1.1090649,1.081539696455002,1.1379876047372819,0.6746896953828958,0.7126067676163562
distmat_cnn_distmat_100_esm2_35M_480,4715,1.1092048,1.0796087294816972,1.1392137706279755,0.677962895964624,0.7164971877996675
mlp_chemberta_77M_esm2_650M,4715,1.1115153,1.0831108659505844,1.1418680906295777,0.6812811743528224,0.7180110811385
mlp_ecfp4_prot_electra,4715,1.1128603,1.0871528685092926,1.1415916413068772,0.6757544002969704,0.7136175046506628
distmat_cnn_esm2_8M,4715,1.1147096,1.0887683749198913,1.141036006808281,0.6715487041893304,0.7072521793576254
bica_v2_chemberta77M_tokens,4715,1.1157193,1.0879452019929885,1.144324204325676,0.6701127167216135,0.7079662973200629
mlp_chemberta_77M_esmc_300M,4715,1.1172359,1.088953924179077,1.1488098710775376,0.666518660082327,0.7042740721977618
lgbm_ecfp4_aac__seed123,4925,1.1173923,1.0920079708099366,1.1422208398580551,0.6323774556462307,0.6697765817723708
mlp_chemberta_prot_electra__seed123,4925,1.1179339,1.0887753516435623,1.146490067243576,0.6459896118971764,0.6835062078115822
transformer_chemberta_100M_prot_electra_256,4715,1.1193665,1.0933274149894714,1.1449984639883042,0.6606278989458719,0.6971223996362009
mlp_deep_ecfp6_kmer3__seed456,4837,1.1212178,1.0940617233514787,1.148566296696663,0.6406227913756601,0.6807375050251138
mlp_wide_maccs_dipeptide,4715,1.1213032,1.0903349697589875,1.15212984085083,0.6813416118038748,0.7176147012025565
mlp_chemberta_prot_electra__seed456,4837,1.1213244,1.0961010366678239,1.1457727164030076,0.6247760699633153,0.6648867616379158
mlp_chemberta_5M_esm2_650M,4715,1.1216222,1.0902790516614913,1.1558752804994583,0.6586739100755388,0.7008264348896057
mlp_chemberta_600_kmer3_8000,4715,1.1227363,1.09622565805912,1.1500287920236587,0.6638299169155402,0.7020451543840585
bica_v2_chemberta77M_tokens__seed123,4925,1.1231883,1.0984023243188858,1.1492710053920745,0.6466079336513553,0.6846247607837233
mlp_ecfp4_esm2_8M__seed456,4837,1.1233394,1.0972687602043152,1.1469801217317581,0.6385279000062284,0.6779355165125248
mlp_chemberta_5M_esm2_150M,4715,1.1238965,1.092512184381485,1.1582300037145614,0.6648344842724281,0.7054818291934074
mlp_chemberta_dipeptide,4715,1.124572,1.0984918862581252,1.1521831631660462,0.6704025382443852,0.7066732742519416
distmat_cnn_distmat_100_esm2_150M,4715,1.126522,1.0961093783378602,1.1550524145364762,0.6564871451051267,0.6967434380518492
mlp_chemberta_5M_prot_electra_256,4715,1.1266097,1.0952912539243698,1.1548894077539444,0.6604023793417413,0.7002328469264305
mlp_ecfp4_esm2_8M,4715,1.1292895,1.1005018800497055,1.1577680557966232,0.6684995922579682,0.705794691130688
xgb_smiles_char_kmer3_8000,4715,1.1293107,1.1026105254888534,1.156689038872719,0.6460702574402674,0.6849993458420878
transformer_chemberta_5M_esm2_150M,4715,1.1296369,1.099080365896225,1.162271824479103,0.6692364812180968,0.7093122829073789
concat_baseline,4715,1.1302005,1.0998742640018464,1.1606152802705765,0.6668454192645294,0.7055528648946785
xgb_ecfp4_aac__seed123,4925,1.1302234,1.103571543097496,1.1540338516235351,0.6207929335643827,0.6590819906895633
xgb_smiles_char_prot_electra_256,4715,1.1309271,1.1034938842058182,1.158432099223137,0.6443153039306209,0.6832714382622692
bica_v2_chemberta_tokens,4715,1.1317818,1.1025439202785492,1.1632827132940293,0.6606565239431516,0.6986282646957529
xgb_chemberta_aac__seed123,4925,1.1324149,1.1083472460508346,1.1572102338075638,0.6085796329656286,0.6467501585654003
xgb_smiles_char_protein_char,4715,1.1328815,1.108170786499977,1.1613032698631287,0.6450542868085865,0.6822978164223203
mlp_chemberta_600_esm2_35M_480,4715,1.1333933,1.1040569961071014,1.1636850208044052,0.6584710969957919,0.6971301258745145
mlp_ecfp6_1024_kmer3_8000,4715,1.1334628,1.105303582549095,1.1609241962432861,0.6659272609282147,0.7043597256338584
mlp_chemberta_5M_esmc_300M,4715,1.1378057,1.1109045207500459,1.1657913446426391,0.663054747617364,0.7004364601755946
mlp_chemberta_77M_prot_electra_256,4715,1.1404562,1.1113120168447495,1.170492884516716,0.6512992040860831,0.6902260021835441
distmat_cnn_distmat_100_esmc_300M,4715,1.1422539,1.1154987543821335,1.1671099603176116,0.6557835871426664,0.6900240524347169
mlp_chemberta_esm2_8M_ranked,4715,1.1432003,1.1149999111890794,1.1740496784448624,0.6442090695608745,0.6852252223000062
