experiment_id,rmse,rmse_ci_lo,rmse_ci_hi,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_r,spearman_ci_lo,spearman_ci_hi,n_bootstrap,n_test
transformer_ecfp6_1024_kmer3_8000,1.2153,1.1847,1.243,0.6366,0.6159,0.656,0.5616,0.5377,0.5849,1000,4715
gcn_mol_graph_esm2_8M_320,1.2156,1.1808,1.2479,0.636,0.6136,0.6567,0.5908,0.5684,0.6126,1000,4715
gcn_ecfp_esm2_8M,1.2158,1.1803,1.2503,0.64,0.618,0.6613,0.5964,0.5722,0.6185,1000,4715
gat_mol_graph_kmer3_8000,1.2161,1.1841,1.2464,0.6407,0.6196,0.661,0.5842,0.561,0.6065,1000,4715
mlp_smiles_char_kmer3_8000,1.217,1.1886,1.2432,0.611,0.5903,0.6328,0.5143,0.4921,0.5398,1000,4715
gcn_ecfp_esm2_8M_recon,1.2187,1.1868,1.2484,0.6132,0.5916,0.6348,0.561,0.5372,0.584,1000,4715
mlp_ecfp6_1024_protein_char,1.2192,1.1916,1.2433,0.6263,0.607,0.6469,0.5501,0.5266,0.5736,1000,4715
transformer_seq_smiles_char_protein_char,1.2215,1.1926,1.2455,0.5985,0.5778,0.6209,0.5097,0.4863,0.5353,1000,4715
transformer_chemberta_77M_esm2_35M_480,1.2216,1.1905,1.2511,0.6275,0.6044,0.6489,0.56,0.5364,0.5827,1000,4715
lstm_smiles_bpe1000_protein_bpe1000,1.2227,1.1935,1.2497,0.6321,0.6129,0.6515,0.588,0.5677,0.6089,1000,4715
bica_chemberta_100M_esmc_300M,1.2243,1.195,1.2524,0.6223,0.6015,0.6437,0.5474,0.5242,0.5709,1000,4715
