experiment_id,model_family,ligand_repr,protein_repr,test_rmse,test_pearson_r,test_spearman_r
transformer_smiles_char_kmer3_8000,transformer,smiles_char,kmer3_8000,1.241,0.5871,0.4996
lstm_smiles_char_protein_char,lstm,smiles_char,protein_char,1.2462,0.6257,0.5372
bica_chemberta_77M_esm2_35M_480,bica,chemberta_77M,esm2_35M_480,1.2485,0.599,0.5377
transformer_chemberta_600_protein_char,transformer,chemberta_600,protein_char,1.2487,0.5654,0.4808
bica_chemberta_100M_esm2_8M_320,bica,chemberta_100M,esm2_8M_320,1.2491,0.5662,0.4854
lstm_smiles_bpe_1000_protein_char,lstm,smiles_bpe_1000,protein_char,1.2524,0.5902,0.5215
rf_ecfp4_target_binary,tree,ecfp4_1024,target_binary,1.2534,0.5618,0.4924
ridge_chemberta_5M_esm2_35M_480,linear,chemberta_5M,esm2_35M_480,1.2544,0.5951,0.5255
ridge_chemberta_5M_esm2_150M,linear,chemberta_5M,esm2_150M,1.2545,0.5978,0.5225
gat_ecfp_esm2_8M,gat,mol_graph,esm2_8M_320,1.2551,0.5978,0.5623
bica_chemberta_600_protein_char,bica,chemberta_600,protein_char,1.2558,0.5788,0.5084
gat_ecfp_esm2_8M_recon,gat,mol_graph,esm2_8M_320,1.2563,0.6148,0.566
mlp_chemberta_600_protein_char,mlp,chemberta_600,protein_char,1.2599,0.5774,0.4938
lstm_smiles_atom_protein_wordpiece512,lstm,smiles_atom,protein_wordpiece_512,1.2608,0.5726,0.4523
rf_ecfp4_target_binary__seed42,tree,ecfp4_1024,target_binary,1.262,0.5518,
bica_chemberta_5M_aac,bica,chemberta_5M,aac_20,1.2637,0.5828,0.5263
ridge_chemberta_5M_esm2_8M_320,linear,chemberta_5M,esm2_8M_320,1.2673,0.5802,0.507
gat_mol_graph_esm2_8M_320,gat,mol_graph,esm2_8M_320,1.268,0.5969,0.5466
bica_chemberta_100M_prot_electra_256,bica,chemberta_100M,prot_electra_256,1.271,0.6081,0.5319
bica_ecfp6_1024_prot_electra_256,bica,ecfp6_1024,prot_electra_256,1.2774,0.5859,0.5442
transformer_ecfp6_1024_protein_char,transformer,ecfp6_1024,protein_char,1.2806,0.5624,0.5085
ridge_rdkit_aac,linear,rdkit_200,aac_20,1.2919,0.522,0.453
bica_ecfp6_1024_protein_char,bica,ecfp6_1024,protein_char,1.2942,0.5592,0.5143
mlp_smiles_char_prot_electra_256,mlp,smiles_char,prot_electra_256,1.2957,0.5449,0.4741
ridge_chemberta_5M_esm2_650M,linear,chemberta_5M,esm2_650M,1.3004,0.5832,0.52
distmat_cnn_aac,distmat_cnn,distmat_100,aac_20,1.303,0.5112,0.4726
ridge_maccs_aac,linear,maccs_167,aac_20,1.3079,0.5025,0.4494
bica_ecfp4_aac,bica,ecfp4_1024,aac_20,1.3081,0.5587,0.4896
ridge_chemberta_77M_esm2_150M,linear,chemberta_77M,esm2_150M,1.3173,0.5507,0.4674
ridge_chemberta_5M_esmc_300M,linear,chemberta_5M,esmc_300M,1.3217,0.5581,0.503
cnn_smiles_onehot_esm2_150M,cnn,smiles_onehot,esm2_150M,1.3243,0.5213,0.4302
ridge_chemberta_77M_esm2_8M_320,linear,chemberta_77M,esm2_8M_320,1.3248,0.5336,0.4481
mlp_shallow_ecfp4_aac,mlp,ecfp4_1024,aac_20,1.3285,0.588,0.5301
cnn_smiles_onehot_esm2_8M_320,cnn,smiles_onehot,esm2_8M_320,1.3286,0.5162,0.4328
bica_smiles_char_prot_electra_256,bica,smiles_char,prot_electra_256,1.3288,0.5398,0.4647
cnn_smiles_onehot_esmc_300M,cnn,smiles_onehot,esmc_300M,1.3329,0.524,0.4183
transformer_seq_smiles_atom_protein_wordpiece512,transformer_seq,smiles_atom,protein_wordpiece_512,1.336,0.4881,0.3535
