timestamp,experiment_id,model_name,model_family,ligand_repr,protein_repr,fusion_strategy,n_params,epochs_trained,batch_size,learning_rate,split_type,n_train,n_val,n_test,val_rmse,val_pearson_r,val_spearman_r,test_rmse,test_pearson_r,test_spearman_r,train_time_sec,notes
2026-04-02 12:13:44 UTC,mlp_chemberta_esm2_8M_ranked,mlp_chemberta_esm2_8M_ranked,mlp,chemberta_600,esm2_8M_320,concat,1816514.0,41.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1205,0.6266,0.5504,1.1432,0.6647,0.598,34.4,Phase1: MLP + ChemBERTa + ESM-2 8M with pairwise ranking loss (MBP)
2026-04-02 12:14:34 UTC,bica_chemberta_esm2_8M_ranked,bica_chemberta_esm2_8M_ranked,bica,chemberta_600,esm2_8M_320,bidirectional_cross_attn,1367809.0,36.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1867,0.5743,0.4864,1.1798,0.6436,0.5643,44.5,Phase1: BiCA + ChemBERTa + ESM-2 8M with pairwise ranking loss (MBP)
2026-04-02 12:18:27 UTC,gat_ecfp_esm2_8M_ranked,gat_ecfp_esm2_8M_ranked,gat,mol_graph,esm2_8M_320,graph,406145.0,87.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1379,0.6133,0.5513,1.1963,0.6434,0.583,208.9,Phase1: GAT + ESM-2 8M with pairwise ranking loss (MBP)
2026-04-02 12:20:22 UTC,gcn_ecfp_esm2_8M_recon,gcn_ecfp_esm2_8M_recon,gcn,mol_graph,esm2_8M_320,graph,431951.0,50.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1144,0.6237,0.5598,1.2187,0.6132,0.561,91.0,Phase1: GCN + ESM-2 8M with GraphMAE node reconstruction aux loss
2026-04-02 12:23:59 UTC,gat_ecfp_esm2_8M_recon,gat_ecfp_esm2_8M_recon,gat,mol_graph,esm2_8M_320,graph,432719.0,60.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1186,0.6306,0.5727,1.2563,0.6148,0.566,190.6,Phase1: GAT + ESM-2 8M with GraphMAE node reconstruction aux loss
2026-04-02 12:24:04 UTC,ridge_chemberta_600_esm2_35M_480,ridge_chemberta_600_esm2_35M_480,linear,chemberta_600,esm2_35M_480,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3209,0.4751,0.4332,1.388,0.5539,0.4919,0.3,Full grid - new embeddings
2026-04-02 12:24:16 UTC,ridge_chemberta_600_prot_electra_256,ridge_chemberta_600_prot_electra_256,linear,chemberta_600,prot_electra_256,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.2749,0.5303,0.4838,1.4497,0.5308,0.4838,0.7,Targeted: Ridge + ChemBERTa + ProtElectra
2026-04-02 12:24:45 UTC,ridge_chemberta_5M_esm2_8M_320,ridge_chemberta_5M_esm2_8M_320,linear,chemberta_5M,esm2_8M_320,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3716,0.4484,0.3511,1.2673,0.5802,0.507,0.2,Full grid - new embeddings
2026-04-02 12:24:49 UTC,ridge_chemberta_5M_esm2_35M_480,ridge_chemberta_5M_esm2_35M_480,linear,chemberta_5M,esm2_35M_480,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3393,0.4774,0.3874,1.2544,0.5951,0.5255,0.2,Full grid - new embeddings
2026-04-02 12:25:01 UTC,ridge_chemberta_5M_prot_electra_256,ridge_chemberta_5M_prot_electra_256,linear,chemberta_5M,prot_electra_256,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.2939,0.5234,0.4452,1.3504,0.5484,0.5021,0.4,Full grid - new embeddings
2026-04-02 12:25:18 UTC,ridge_chemberta_77M_esm2_8M_320,ridge_chemberta_77M_esm2_8M_320,linear,chemberta_77M,esm2_8M_320,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3902,0.4417,0.4065,1.3248,0.5336,0.4481,0.2,Full grid - new embeddings
2026-04-02 12:25:22 UTC,ridge_chemberta_77M_esm2_35M_480,ridge_chemberta_77M_esm2_35M_480,linear,chemberta_77M,esm2_35M_480,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3538,0.4596,0.4187,1.3368,0.5374,0.4534,0.2,Full grid - new embeddings
2026-04-02 12:25:34 UTC,ridge_chemberta_77M_prot_electra_256,ridge_chemberta_77M_prot_electra_256,linear,chemberta_77M,prot_electra_256,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.4092,0.4686,0.4407,1.3785,0.5189,0.4615,0.5,Full grid - new embeddings
2026-04-02 12:27:01 UTC,ridge_chemberta_100M_esm2_8M_320,ridge_chemberta_100M_esm2_8M_320,linear,chemberta_100M,esm2_8M_320,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.356,0.4412,0.3921,1.4217,0.5028,0.4222,0.3,Full grid - new embeddings
2026-04-02 12:27:04 UTC,ridge_chemberta_100M_esm2_35M_480,ridge_chemberta_100M_esm2_35M_480,linear,chemberta_100M,esm2_35M_480,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3503,0.4593,0.4087,1.4187,0.5187,0.4351,0.3,Full grid - new embeddings
2026-04-02 12:27:17 UTC,ridge_chemberta_100M_prot_electra_256,ridge_chemberta_100M_prot_electra_256,linear,chemberta_100M,prot_electra_256,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3373,0.4899,0.4354,1.4448,0.5152,0.4389,0.8,Full grid - new embeddings
2026-04-02 12:30:05 UTC,xgb_chemberta_600_esm2_8M_320,xgb_chemberta_600_esm2_8M_320,tree,chemberta_600,esm2_8M_320,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1009,0.6359,0.5492,1.067,0.7101,0.6299,8.1,Full grid - new embeddings
2026-04-02 12:30:17 UTC,xgb_chemberta_600_esm2_35M_480,xgb_chemberta_600_esm2_35M_480,tree,chemberta_600,esm2_35M_480,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0887,0.6457,0.5744,1.0577,0.7147,0.6418,9.0,Full grid - new embeddings
2026-04-02 12:30:43 UTC,xgb_chemberta_600_prot_electra_256,xgb_chemberta_600_prot_electra_256,tree,chemberta_600,prot_electra_256,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.089,0.6464,0.5648,1.058,0.7142,0.638,13.9,Targeted: XGB + ChemBERTa + ProtElectra
2026-04-02 12:30:52 UTC,xgb_chemberta_5M_esm2_8M_320,xgb_chemberta_5M_esm2_8M_320,tree,chemberta_5M,esm2_8M_320,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0865,0.6494,0.5716,1.0554,0.7169,0.6469,5.7,Full grid - new embeddings
2026-04-02 12:31:02 UTC,xgb_chemberta_5M_esm2_35M_480,xgb_chemberta_5M_esm2_35M_480,tree,chemberta_5M,esm2_35M_480,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.066,0.6659,0.5814,1.0473,0.722,0.6517,6.4,Full grid - new embeddings
2026-04-02 12:31:26 UTC,xgb_chemberta_5M_prot_electra_256,xgb_chemberta_5M_prot_electra_256,tree,chemberta_5M,prot_electra_256,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0807,0.6531,0.571,1.0566,0.7152,0.6446,11.7,Full grid - new embeddings
2026-04-02 12:31:35 UTC,xgb_chemberta_77M_esm2_8M_320,xgb_chemberta_77M_esm2_8M_320,tree,chemberta_77M,esm2_8M_320,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0702,0.6607,0.585,1.0722,0.7055,0.6355,5.5,Full grid - new embeddings
2026-04-02 12:31:44 UTC,xgb_chemberta_77M_esm2_35M_480,xgb_chemberta_77M_esm2_35M_480,tree,chemberta_77M,esm2_35M_480,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0564,0.6716,0.5913,1.0771,0.703,0.6323,6.2,Full grid - new embeddings
2026-04-02 12:32:08 UTC,xgb_chemberta_77M_prot_electra_256,xgb_chemberta_77M_prot_electra_256,tree,chemberta_77M,prot_electra_256,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0628,0.6666,0.5952,1.0816,0.6991,0.6272,11.4,Full grid - new embeddings
2026-04-02 12:32:19 UTC,xgb_chemberta_100M_esm2_8M_320,xgb_chemberta_100M_esm2_8M_320,tree,chemberta_100M,esm2_8M_320,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0955,0.6399,0.5636,1.0718,0.7065,0.6286,8.0,Full grid - new embeddings
2026-04-02 12:32:31 UTC,xgb_chemberta_100M_esm2_35M_480,xgb_chemberta_100M_esm2_35M_480,tree,chemberta_100M,esm2_35M_480,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0929,0.6422,0.5665,1.0717,0.7059,0.6228,8.5,Full grid - new embeddings
2026-04-02 12:32:57 UTC,xgb_chemberta_100M_prot_electra_256,xgb_chemberta_100M_prot_electra_256,tree,chemberta_100M,prot_electra_256,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0848,0.649,0.5862,1.0775,0.7014,0.6188,13.7,Full grid - new embeddings
